Symbol	Price	Change	Volume
AAPL	188.12	-3.63	5836711
MSFT	794.37	-4.56	7055544
AMZN	445.42	-0.94	5211218
FB	973.74	4.02	8304141
GOOGL	109.79	-3.71	6340400
TSLA	254.9	4.61	1486523
BRK.A	912.49	1.32	1454915
V	354.03	2.52	8162149
JNJ	924.59	0.06	8347761
WMT	670.91	-4.35	1186567
JPM	961.57	-0.05	4162760
MA	659.45	-2.97	9242400
PG	531.03	-2.9	3789793
UNH	564.18	-2.46	8923574
DIS	342.26	3.13	6699222
NVDA	470.03	1.61	160109
HD	709.83	-2.32	8975007
PYPL	461.58	-2.86	7265339
BAC	649.3	-1.12	5348807
VZ	950.31	-3.26	934258
ADBE	970.15	-4.91	1302475
CMCSA	219.67	-1.05	9695236
NFLX	248.34	3.98	4130598
KO	394.6	3.12	3094386
NKE	205.46	-4.49	6927361
MRK	828.97	2.34	7924812
PEP	187.71	1.3	5705078
T	545.62	3.6	824521
PFE	194.69	2.88	3184758
INTC	134.49	1.09	9358929
CRM	479.19	1.76	3452326
ABT	657.15	4.62	2286621
ORCL	553.88	1.18	1489579
CSCO	350.43	-2.84	7382356
ABBV	130.33	3.39	8763164
TMO	812.65	2.13	2934956
AVGO	365.01	1.61	8897251
XOM	938.96	-1.47	4284049
ACN	541.27	-1.5	5647676
QCOM	666.95	4.82	4265294
COST	293.48	-0.32	8306746
CVS	595.99	-3.97	2162740
LLY	629.76	-0.7	9920563
MCD	179.25	2.45	1051162
DHR	852.25	0.56	3773513
HON	324.58	-4.48	1963737
AMGN	538.64	-2.4	6380919
BMY	688.24	4.46	4807133
LIN	131.44	-2.6	3101095
BA	917.99	-4.31	6541004
TXN	506.07	-3.49	245673
LMT	867.9	-1.7	9369213
WFC	995.38	4.56	7963049
D	216.01	-1.9	4426264
BHP	678.28	0.46	9223640
BLK	908.31	2.68	4354416
UNP	266.84	-1.29	4770595
SAP	773.28	-0.76	2846370
MDT	100.1	4.03	6390206
NEE	952.13	0.53	6316559
RIO	967.11	0.87	5113825
SBUX	363.64	-3.74	1469111
MMM	320.61	-1.39	3599756
UPS	824.4	-1.66	4208889
CAT	810.74	1.96	3639555
IBM	496.2	-2.38	4146382
C	466.28	-3.07	5749462
SCHW	201.32	2.16	3512284
GS	638.8	3.9	6389547
AXP	112.29	3.37	3603955
TGT	290.82	-1.42	9339081
CVX	627.89	-0.7	145921
MS	600.39	1.86	3853168
ANTM	262.06	4.11	9387597
SYK	220.01	4.86	2759422
GE	789.55	-2.54	217601
DE	232.07	-1.47	3587638
PNC	814.79	3.16	3541409
GILD	945.2	-1.08	1835093
MO	879.74	-3.14	3400836
MDLZ	467.23	4.42	5302184
CL	127.7	-0.75	671444
USB	922.91	1.15	4910374
BUD	416.25	3.36	4252115
BDX	591.52	-1.38	708762
SPGI	180.57	-4.93	4243886
RTX	931.16	3.61	1654810
CI	836.75	3.18	1008449
ZTS	898.7	-4.21	8608120
CSX	795.52	-4.42	1635381
CHTR	361.07	1.48	8631944
FIS	809.32	0.34	6407011
ADP	149.26	4.94	3830686
INTU	897.04	0.79	5958917
TJX	742.92	-3.98	6815557
ISRG	994.74	2.9	8731060
BKNG	340.37	-0.36	6650310
GM	852.57	1.13	1870630
MU	877.43	0.14	779552
ATVI	487.79	4.82	266030
ADSK	230.28	3.72	7687639
TWTR	625.44	-4.14	6577409
EBAY	375.98	-4.03	7066109
